note,fhir
"Complaints of extreme fatigue, hair loss, and cold intolerance led to a diagnosis of hypothyroidism following blood tests.","{'clinicalStatus': {'text': 'active'}, 'code': {'coding': [{'code': '40930008', 'display': 'Hypothyroidism', 'system': 'http://snomed.info/sct'}], 'text': 'hypothyroidism'}, 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Condition'}"
"Intense itching, particularly at night, and a pimple-like rash resulted in a diagnosis of scabies following skin scraping and examination.","{'clinicalStatus': {'text': 'active'}, 'code': {'coding': [{'code': '128870005', 'display': 'Crusted scabies', 'system': 'http://snomed.info/sct'}], 'text': 'scabies'}, 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Condition'}"
"Patient suffered from recurrent, severe headaches often accompanied by nausea and sensitivity to light and sound, diagnosed as migraine.","{'clinicalStatus': {'text': 'active'}, 'code': {'coding': [{'code': '37796009', 'display': 'Migraine', 'system': 'http://snomed.info/sct'}], 'text': 'migraine'}, 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Condition'}"
Severe abdominal pain and vomiting led to a diagnosis of cholecystitis after an ultrasound showed gallstones blocking the bile ducts.,"{'clinicalStatus': {'text': 'active'}, 'code': {'coding': [{'code': '76581006', 'display': 'Cholecystitis', 'system': 'http://snomed.info/sct'}], 'text': 'cholecystitis'}, 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Condition'}"
"Patient exhibited a high fever, sore throat, and swollen lymph nodes, resulting in a diagnosis of mononucleosis after a blood test.","{'clinicalStatus': {'text': 'active'}, 'code': {'coding': [{'code': '186668002', 'display': 'Gammaherpesviral mononucleosis', 'system': 'http://snomed.info/sct'}], 'text': 'mononucleosis'}, 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Condition'}"
"Complained of burning sensation during urination and discharge, leading to a diagnosis of gonorrhea after lab tests.","{'clinicalStatus': {'text': 'active'}, 'code': {'coding': [{'code': '15628003', 'display': 'Gonorrhea (disorder)', 'system': 'http://snomed.info/sct'}], 'text': 'gonorrhea'}, 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Condition'}"
"Frequent, painful urination and lower back pain led to a diagnosis of urinary tract infection after a urine culture.","{'clinicalStatus': {'text': 'active'}, 'code': {'coding': [{'code': '12301009', 'display': 'Neonatal urinary tract infection', 'system': 'http://snomed.info/sct'}], 'text': 'urinary tract infection'}, 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Condition'}"
"Patient showed signs of depression, loss of interest in activities, and significant weight changes, leading to a diagnosis of major depressive disorder.","{'clinicalStatus': {'text': 'active'}, 'code': {'coding': [{'code': '370143000', 'display': 'Major depressive disorder', 'system': 'http://snomed.info/sct'}], 'text': 'major depressive disorder'}, 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Condition'}"
"Patient came in with a headache, and mentioned they have been on Sertraline for depression for several months.","{'medicationCodeableConcept': {'coding': [{'code': '372594008', 'display': 'Sertraline', 'system': 'http://snomed.info/sct'}], 'text': 'Sertraline'}, 'status': 'recorded', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'MedicationStatement'}"
Reported high blood pressure during check-up. Patient has been taking Lisinopril for the past year.,"{'medicationCodeableConcept': {'coding': [{'code': '386873009', 'display': 'Lisinopril', 'system': 'http://snomed.info/sct'}], 'text': 'Lisinopril'}, 'status': 'recorded', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'MedicationStatement'}"
Complaining of joint pain. Patient has been on Methotrexate for rheumatoid arthritis for over two years.,"{'medicationCodeableConcept': {'coding': [{'code': '387381009', 'display': 'Methotrexate', 'system': 'http://snomed.info/sct'}], 'text': 'Methotrexate'}, 'status': 'recorded', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'MedicationStatement'}"
Patient presented with asthma symptoms. They have been using a Salbutamol inhaler as needed.,"{'medicationCodeableConcept': {'coding': [{'code': '372897005', 'display': 'Salbutamol (substance)', 'system': 'http://snomed.info/sct'}], 'text': 'Salbutamol'}, 'status': 'recorded', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'MedicationStatement'}"
Came in for diabetes management. Has been on Metformin for three years.,"{'medicationCodeableConcept': {'coding': [{'code': '372567009', 'display': 'Metformin', 'system': 'http://snomed.info/sct'}], 'text': 'Metformin'}, 'status': 'recorded', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'MedicationStatement'}"
Experiencing allergic reactions. Patient has been taking Loratadine regularly during allergy season.,"{'medicationCodeableConcept': {'coding': [{'code': '386884002', 'display': 'Loratadine', 'system': 'http://snomed.info/sct'}], 'text': 'Loratadine'}, 'status': 'recorded', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'MedicationStatement'}"
"Patient with a history of seizures, on Levetiracetam for the last five years.","{'medicationCodeableConcept': {'coding': [{'code': '387000003', 'display': 'Levetiracetam', 'system': 'http://snomed.info/sct'}], 'text': 'Levetiracetam'}, 'status': 'recorded', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'MedicationStatement'}"
Visited for a cardiac check-up. Has been on Atenolol for hypertension for several years.,"{'medicationCodeableConcept': {'coding': [{'code': '387506000', 'display': 'Atenolol', 'system': 'http://snomed.info/sct'}], 'text': 'Atenolol'}, 'status': 'recorded', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'MedicationStatement'}"
Complaining of chronic back pain. Has been taking Ibuprofen as needed for relief.,"{'medicationCodeableConcept': {'coding': [{'code': '387207008', 'display': 'Ibuprofen', 'system': 'http://snomed.info/sct'}], 'text': 'Ibuprofen'}, 'status': 'recorded', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'MedicationStatement'}"
"Patient with high cholesterol, has been on Atorvastatin for the past two years.","{'medicationCodeableConcept': {'coding': [{'code': '373444002', 'display': 'Atorvastatin', 'system': 'http://snomed.info/sct'}], 'text': 'Atorvastatin'}, 'status': 'recorded', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'MedicationStatement'}"
Experiencing gastrointestinal discomfort. Mentioned taking Omeprazole for acid reflux regularly.,"{'medicationCodeableConcept': {'coding': [{'code': '387137007', 'display': 'Omeprazole', 'system': 'http://snomed.info/sct'}], 'text': 'Omeprazole'}, 'status': 'recorded', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'MedicationStatement'}"
Came in for an anxiety disorder follow-up. Has been on Alprazolam for six months.,"{'medicationCodeableConcept': {'coding': [{'code': '386983007', 'display': 'Alprazolam', 'system': 'http://snomed.info/sct'}], 'text': 'Alprazolam'}, 'status': 'recorded', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'MedicationStatement'}"
"Patient with chronic migraines, has been taking Sumatriptan when symptoms appear.","{'medicationCodeableConcept': {'coding': [{'code': '395892000', 'display': 'Sumatriptan', 'system': 'http://snomed.info/sct'}], 'text': 'Sumatriptan'}, 'status': 'recorded', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'MedicationStatement'}"
Visited for a thyroid check-up. Has been on Levothyroxine for hypothyroidism for years.,"{'medicationCodeableConcept': {'coding': [{'code': '710809001', 'display': 'Levothyroxine', 'system': 'http://snomed.info/sct'}], 'text': 'Levothyroxine'}, 'status': 'recorded', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'MedicationStatement'}"
Complaining of insomnia. Has been prescribed Zolpidem to help with sleep.,"{'medicationCodeableConcept': {'coding': [{'code': '387569009', 'display': 'Zolpidem', 'system': 'http://snomed.info/sct'}], 'text': 'Zolpidem'}, 'status': 'recorded', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'MedicationStatement'}"
"Patient with a history of heartburn, taking Ranitidine as needed.","{'medicationCodeableConcept': {'coding': [{'code': '372755005', 'display': 'Ranitidine', 'system': 'http://snomed.info/sct'}], 'text': 'Ranitidine'}, 'status': 'recorded', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'MedicationStatement'}"
Experiencing muscle spasms. Has been on Baclofen for the past year.,"{'medicationCodeableConcept': {'coding': [{'code': '387342009', 'display': 'Baclofen', 'system': 'http://snomed.info/sct'}], 'text': 'Baclofen'}, 'status': 'recorded', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'MedicationStatement'}"
Visited for a skin condition. Has been applying Hydrocortisone cream for eczema.,"{'medicationCodeableConcept': {'coding': [{'code': '396458002', 'display': 'Hydrocortisone', 'system': 'http://snomed.info/sct'}], 'text': 'Hydrocortisone'}, 'status': 'recorded', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'MedicationStatement'}"
Complained of chest pain. Patient has been on Nitroglycerin for angina.,"{'medicationCodeableConcept': {'coding': [{'code': '387404004', 'display': 'Glyceryl trinitrate (substance)', 'system': 'http://snomed.info/sct'}], 'text': 'Nitroglycerin'}, 'status': 'recorded', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'MedicationStatement'}"
"Patient with Parkinson's disease, has been taking Carbidopa-Levodopa for symptom control.","{'medicationCodeableConcept': {'coding': [{'code': '292268008', 'display': 'Carbidopa + levodopa adverse reaction', 'system': 'http://snomed.info/sct'}], 'text': 'Carbidopa-Levodopa'}, 'status': 'recorded', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'MedicationStatement'}"
"Patient reported persistent lower back pain. During examination, mentioned a lumbar spinal fusion surgery performed last year.","{'code': {'coding': [{'code': '50172003', 'display': 'Lumbar spinal fusion', 'system': 'http://snomed.info/sct'}], 'text': 'lumbar spinal fusion'}, 'status': 'completed', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Procedure'}"
Came in for a routine check-up. Patient has a history of a coronary artery bypass graft done five years ago.,"{'code': {'coding': [{'code': '232717009', 'display': 'Coronary artery bypass graft', 'system': 'http://snomed.info/sct'}], 'text': 'coronary artery bypass graft'}, 'status': 'completed', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Procedure'}"
"Complaining of shortness of breath, the patient revealed they had a lung transplant due to chronic obstructive pulmonary disease.","{'code': {'coding': [{'code': '232657004', 'display': 'Single lung transplant', 'system': 'http://snomed.info/sct'}], 'text': 'lung transplant'}, 'status': 'completed', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Procedure'}"
"Presented with knee pain, exacerbated by movement. Patient had a total knee replacement surgery two years prior.","{'code': {'coding': [{'code': '609588000', 'display': 'Total knee replacement', 'system': 'http://snomed.info/sct'}], 'text': 'total knee replacement'}, 'status': 'completed', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Procedure'}"
"Patient experiencing frequent headaches. During consultation, mentioned undergoing endovascular coiling for an aneurysm last year.","{'code': {'coding': [{'code': '416061003', 'display': 'Vascular coiling', 'system': 'http://snomed.info/sct'}], 'text': 'endovascular coiling'}, 'status': 'completed', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Procedure'}"
Visited for follow-up after a cataract surgery performed a month ago. Vision has improved significantly.,"{'code': {'coding': [{'code': '110473004', 'display': 'Cataract surgery', 'system': 'http://snomed.info/sct'}], 'text': 'cataract surgery'}, 'status': 'completed', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Procedure'}"
Patient complained of gastrointestinal issues. Disclosed a history of a gastric bypass surgery for weight loss three years ago.,"{'code': {'coding': [{'code': '429117009', 'display': 'History of aortofemoral bypass surgery', 'system': 'http://snomed.info/sct'}], 'text': 'gastric bypass surgery'}, 'status': 'completed', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Procedure'}"
"Came in with a fractured wrist. Patient had a hip replacement ten years ago, which was relevant to their current balance issues.","{'code': {'coding': [{'code': '183992003', 'display': 'Hip replacement planned', 'system': 'http://snomed.info/sct'}], 'text': 'hip replacement'}, 'status': 'completed', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Procedure'}"
Experiencing chronic nasal congestion. Patient had a rhinoplasty to correct a deviated septum two years ago.,"{'code': {'coding': [{'code': '172761005', 'display': 'Reduction rhinoplasty', 'system': 'http://snomed.info/sct'}], 'text': 'rhinoplasty'}, 'status': 'completed', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Procedure'}"
Visited for a regular diabetes check-up. Patient underwent a pancreas transplant five years ago.,"{'code': {'coding': [{'code': '431506006', 'display': 'Rejection of pancreas transplant', 'system': 'http://snomed.info/sct'}], 'text': 'pancreas transplant'}, 'status': 'completed', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Procedure'}"
Patient showed signs of anemia. Mentioned having a splenectomy after a traumatic injury last year.,"{'code': {'coding': [{'code': '234319005', 'display': 'Splenectomy', 'system': 'http://snomed.info/sct'}], 'text': 'splenectomy'}, 'status': 'completed', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Procedure'}"
Came in for a cardiac evaluation. Had a pacemaker implanted three years ago due to arrhythmia.,"{'code': {'coding': [{'code': '307280005', 'display': 'Implantation of cardiac pacemaker', 'system': 'http://snomed.info/sct'}], 'text': 'pacemaker implantation'}, 'status': 'completed', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Procedure'}"
"Patient with a history of breast cancer, underwent a mastectomy and reconstruction surgery two years ago.","{'code': {'coding': [{'code': '307330001', 'display': 'Esophagectomy and interposition reconstruction (procedure)', 'system': 'http://snomed.info/sct'}], 'text': 'mastectomy and reconstruction'}, 'status': 'completed', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Procedure'}"
Experiencing dizziness and balance issues. Patient had a vestibular schwannoma removed last year.,"{'code': {'coding': [{'code': '189948006', 'display': 'Schwannoma', 'system': 'http://snomed.info/sct'}], 'text': 'vestibular schwannoma removal'}, 'status': 'completed', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Procedure'}"
Visited for a skin examination. Had a melanoma excision two years ago with no recurrence.,"{'code': {'coding': [{'code': '177281002', 'display': 'Excision of melanoma', 'system': 'http://snomed.info/sct'}], 'text': 'melanoma excision'}, 'status': 'completed', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Procedure'}"
Patient with chronic ear infections. Underwent tympanoplasty for a perforated eardrum a year ago.,"{'code': {'coding': [{'code': '172698000', 'display': 'Revision of tympanoplasty', 'system': 'http://snomed.info/sct'}], 'text': 'tympanoplasty'}, 'status': 'completed', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Procedure'}"
Complained of joint pain in hands. Had a carpal tunnel release surgery six months ago.,"{'code': {'coding': [{'code': '171841007', 'display': 'Endoscopic carpal tunnel release', 'system': 'http://snomed.info/sct'}], 'text': 'carpal tunnel release'}, 'status': 'completed', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Procedure'}"
"Patient with a history of kidney stones, underwent a lithotripsy procedure last year to remove them.","{'code': {'coding': [{'code': '133864008', 'display': 'Lithotripsy', 'system': 'http://snomed.info/sct'}], 'text': 'lithotripsy'}, 'status': 'completed', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Procedure'}"
Experiencing abdominal pain. Patient had an appendectomy as a child.,"{'code': {'coding': [{'code': '80146002', 'display': 'Excision of appendix (procedure)', 'system': 'http://snomed.info/sct'}], 'text': 'appendectomy'}, 'status': 'completed', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Procedure'}"
Visited for an eye check-up. Patient mentioned having a laser eye surgery (LASIK) for vision correction two years ago.,"{'code': {'coding': [{'code': '35631009', 'display': 'Laser surgery', 'system': 'http://snomed.info/sct'}], 'text': 'laser eye surgery (LASIK)'}, 'status': 'completed', 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Procedure'}"
